wine_name,viticultural_domain,grape_variety,region,wine_style,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Crémant de Bourgogne N.V.,Laurent Perrachon,100 % Chardonnay,France / Bourgogne / Crémant de Bourgogne,,12 %,sulfites,,"4,2",148 notes,€15,https://images.vivino.com/thumbs/jh3e88vDSSCxTlkmxkft2w_pb_x600.png,https://www.vivino.com/FR/fr/perrachon-cremant-de-bourgogne/w/5479564?price_id=21886936
Mâcon-Vergisson Les Rochers 2018,Domaine Guerrin & Fils,100 % Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Vergisson,Burgundy Mâconnais White,13.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,2",71 notes,"€13,43",https://images.vivino.com/thumbs/xCqISqB-RhWlQL0j41scBg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-guerrin-fils-macon-vergisson-les-rochers/w/1393390?year=2018&price_id=25319495
Domaine de L'Abbaye du Petit Quincy Bourgogne Tonnerre 2018,Dominique Gruhier,100 % Chardonnay,France / Bourgogne / Tonnerre,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,2",65 notes,"€14,90",https://images.vivino.com/thumbs/w2RNIS-vTueEwohuQvFAFA_pb_x600.png,https://www.vivino.com/FR/fr/dominique-gruhier-domaine-de-l-abbaye-du-petit-quincy-bourgogne-tonnerre/w/1343403?year=2018&price_id=24509901
Mâcon 'Aux Bois d'Allier' 2019,Domaine Cordier Père & Fils,Chardonnay,France / Bourgogne / Mâconnais / Mâcon,Burgundy Mâconnais White,13.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,2",51 notes,€15,https://images.vivino.com/thumbs/fmiaZJyhSry68LBL5ILxrA_pb_x600.png,https://www.vivino.com/FR/fr/fr-domaine-cordier-pere-fils-macon-aux-bois-d-allier/w/1321931?year=2019&price_id=25065961
Domaine de L'Abbaye du Petit Quincy Bourgogne Épineuil 2018,Dominique Gruhier,100 % Pinot Noir,France / Bourgogne / Tonnerre / Bourgogne Epineuil,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",377 notes,"€14,70",https://images.vivino.com/thumbs/X_cB0YDaQ72Q6MiZuKYLrQ_pb_x600.png,https://www.vivino.com/FR/fr/dominique-gruhier-domaine-de-l-abbaye-du-petit-quincy-bourgogne-epineuil/w/2726504?year=2018&price_id=23798070
Chablis 2018,Domaine Passy le Clou,Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",42 notes,"€14,70",https://images.vivino.com/thumbs/YLvOVbb4SjKTAEkWh2lIHQ_pb_x600.png,https://www.vivino.com/FR/fr/domaine-passy-le-clou-chablis/w/6521522?year=2018&price_id=23742681
Bourgogne Chardonnay 2018,Domaine Faiveley,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,13 %,"sulfites, allergènes (œufs), allergènes (lait)","Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,0",386 notes,"€15,30",https://images.vivino.com/thumbs/ynUZEhrXR8mbGzBu4skeYg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-faiveley-bourgogne-chardonnay/w/1157013?year=2018&price_id=23088325
Petit Chablis 2018,Domaine des Marronniers,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",273 notes,"€12,95",https://images.vivino.com/thumbs/FVm1bVjhRluQ68PC4QSXaw_pb_x600.png,https://www.vivino.com/FR/fr/marronniers-petit-chablis/w/1708116?year=2018&price_id=24110059
Chablis 2019,Alain Gautheron,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",241 notes,€15,https://images.vivino.com/thumbs/KAPyl1dDSBmrx5PB_pEdVg_pb_x600.png,https://www.vivino.com/FR/fr/alain-gautheron-chablis/w/1202040?year=2019&price_id=23382567
Petit Chablis 2018,Isabelle et Denis Pommier,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",226 notes,€10,https://images.vivino.com/thumbs/baanFAJSRDaKpR0_qAjDCQ_pb_x600.png,https://www.vivino.com/FR/fr/denis-pommier-petit-chablis/w/1163769?year=2018&price_id=24694486
Saint-Véran 2018,Louis Jadot,100 % Chardonnay,France / Bourgogne / Mâconnais / Saint-Véran,Burgundy Mâconnais White,13 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",162 notes,€16,https://images.vivino.com/thumbs/iGEU6wR6T8uH171b6ycC6A_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-saint-veran/w/3027?year=2018&price_id=25944512
Lieu Dit Château London Mâcon-Igé 2017,Prosper Maufoux,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Igé,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",73 notes,€12,https://images.vivino.com/thumbs/YTpC9sVjSCOfhIYmcXGQYw_pb_x600.png,https://www.vivino.com/FR/fr/prosper-maufoux-lieu-dit-chateau-london-macon-ige/w/4522671?year=2017&price_id=26214097
Chablis 2020,Domaine Gueguen,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",47 notes,€16,https://images.vivino.com/thumbs/Fff0i9X9Q4u3ksCT1NoGEw_pb_x600.png,https://www.vivino.com/FR/fr/gueguen-chablis/w/2628577?year=2020&price_id=25219829
Mâcon-Uchizy 2020,Gérald Talmard,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Uchizy,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",37 notes,"€8,10",https://images.vivino.com/thumbs/ozLzqSLZT-2gy-YnLiDp5w_pb_x600.png,https://www.vivino.com/FR/fr/gerald-talmard-macon-uchizy/w/9004240?year=2020&price_id=25377091
Petit Chablis 2018,Domaine Christophe Camu,Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",27 notes,"€13,90",https://images.vivino.com/thumbs/zRXEoRwLR5S92J-EsSHDWA_pb_x600.png,https://www.vivino.com/FR/fr/christophe-camu-petit-chablis/w/1707511?year=2018&price_id=21800705
Chablis 2018,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",2229 notes,"€15,85",https://images.vivino.com/thumbs/4pDrp1dPRVSbZhL29IIGdw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-chablis/w/2824?year=2018&price_id=22484251
Chablis 2019,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",1211 notes,"€15,84",https://images.vivino.com/thumbs/4pDrp1dPRVSbZhL29IIGdw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-chablis/w/2824?year=2019&price_id=24329625
Chablis 2018,Domaine du Colombier,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",684 notes,€13,https://images.vivino.com/thumbs/-Ep4ytZpRLC3lmqWNsMNFg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-du-colombier-chablis-premier-cru-chablis/w/1150239?year=2018&price_id=20459184
Bourgogne Couvent des Jacobins 2019,Louis Jadot,100 % Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,13 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,9",671 notes,"€12,52",https://images.vivino.com/thumbs/rGP_6ONCSRClwOj_HBFdtw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-bourgogne-couvent-des-jacobins/w/2816?year=2019&price_id=24060058
Crémant de Bourgogne Blanc de Blancs Brut N.V.,Martine et Pierre Marie Chermette - Domaine du Vissoux,100 % Chardonnay,France / Bourgogne / Crémant de Bourgogne,Crémant (France),12 %,sulfites,"Crustacés,Volaille,Apéritif et snacks,Poisson maigre,Apéritif","3,9",517 notes,"€14,90",https://images.vivino.com/thumbs/rpvcApA5SxmUAeUCrafHzg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-du-vissoux-cremant-de-bourgogne-blanc-de-blancs-brut/w/1240853?price_id=11070951
Petit Chablis 2019,Louis Moreau,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",277 notes,€15,https://images.vivino.com/thumbs/NAx3LfiQQo6Y80HKbZqRuQ_pb_x600.png,https://www.vivino.com/FR/fr/louis-moreau-petit-chablis/w/779317?year=2019&price_id=24759266
Bourgogne Gamay Vieilles Vignes 2016,Domaine Labruyère,100 % Gamay,France / Bourgogne,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,9",158 notes,"€13,95",https://images.vivino.com/thumbs/C0uGGczXQJ2X3BYROwrRew_pb_x600.png,https://www.vivino.com/FR/fr/labruyere-bourgogne-gamay-vieilles-vignes-bourgogne/w/6251562?year=2016&price_id=25038101
Tête de Cuvée Montagny 2018,Berthenet,100 % Chardonnay,France / Bourgogne / Côte Chalonnaise / Montagny,Bourgogne-Côte Chalonnaise blanc,13.5 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",141 notes,€12,https://images.vivino.com/thumbs/nyuWZ3z5TdOPX0wJ8tnhaw_pb_x600.png,https://www.vivino.com/FR/fr/berthenet-tete-de-cuvee-montagny/w/1246437?year=2018&price_id=23336159
Bourgogne Aligoté 2018,Sylvain Pataille,100 % Aligoté,France / Bourgogne / Bourgogne Aligoté,Vin blanc de Bourgogne,13 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",135 notes,"€15,80",https://images.vivino.com/thumbs/_2iXuC5WQoWXPrr1Ok1KlA_pb_x600.png,https://www.vivino.com/FR/fr/sylvain-pataille-bourgogne-aligote/w/1992561?year=2018&price_id=20196288
Montagny 1er Cru Tête de Cuvée 2018,Vignerons de Buxy,Chardonnay,France / Bourgogne / Côte Chalonnaise / Montagny / Montagny Premier Cru,Bourgogne-Côte Chalonnaise blanc,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",94 notes,"€14,50",https://images.vivino.com/thumbs/YrAGhe_hTNSuZLWm7mByjw_pb_x600.png,https://www.vivino.com/FR/fr/buxy-montagny-1er-cru-tete-de-cuvee/w/3115922?year=2018&price_id=24092589
Harmonie Viré-Clessé 2019,Domaine de la Verpaille,Chardonnay,France / Bourgogne / Mâconnais / Viré-Clessé,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",82 notes,€15,https://images.vivino.com/thumbs/EyFDPUWDRB2SlaS8n4upmg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-de-la-verpaille-vire-clesse-harmonie/w/2801378?year=2019&price_id=23715687
Chablis 2020,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",75 notes,"€15,85",https://images.vivino.com/thumbs/4pDrp1dPRVSbZhL29IIGdw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-chablis/w/2824?year=2020&price_id=25237818
Côtes Salines Bourgogne Chardonnay 2020,Domaine Gueguen,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,12.5 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",74 notes,€12,https://images.vivino.com/thumbs/kbRWaeigSemTAiHf_2Splg_pb_x600.png,https://www.vivino.com/FR/fr/gueguen-cotes-salines-bourgogne-chardonnay-bourgogne/w/6342023?year=2020&price_id=25219828
Petit Chablis 2018,Domaine de la Motte,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",49 notes,€16,https://images.vivino.com/thumbs/4trfDpcpQWCuYVh-pwgUXQ_pb_x600.png,https://www.vivino.com/FR/fr/famille-michaut-petit-chablis/w/2442848?year=2018&price_id=25308294
Mâcon Villages 2020,Domaine des Gandines,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Villages,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","3,9",43 notes,€12,https://images.vivino.com/thumbs/tlhToNdzRFO_Mw6HrRtk3Q_pb_x600.png,https://www.vivino.com/FR/fr/gandines-macon-villages/w/1621151?year=2020&price_id=25276021
Château des Bois Mâcon-Milly-Lamartine Chardonnay 2019,Château de la Greffière,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Milly-Lamartine,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","3,9",40 notes,"€9,25",https://images.vivino.com/thumbs/i-_-1pYoToypqU30z9464A_pb_x600.png,https://www.vivino.com/FR/fr/de-la-greffiere-chateau-des-bois-macon-milly-lamartine-chardonnay/w/4960507?year=2019&price_id=25144500
Sélection Prestige Mâcon Azé 2016,Cave d'Aze,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Azé,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","3,9",36 notes,€12,https://images.vivino.com/thumbs/f1xeNReGRvCWco831xtnXQ_pb_x600.png,https://www.vivino.com/FR/fr/cave-d-aze-selecion-prestige-macon/w/1437090?year=2016&price_id=18412541
Frissons Bourgogne Chardonnay 2020,Alain Gautheron,Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,9",29 notes,"€14,75",https://images.vivino.com/thumbs/2uQlyHlSSECxhBSAqcD8sA_pb_x600.png,https://www.vivino.com/FR/fr/alain-gautheron-frissons-bourgogne-chardonnay/w/6033370?year=2020&price_id=25389870
Blanc de Blancs Brut N.V.,Famille Moutard,100 % Chardonnay,France / Bourgogne,,12 %,sulfites,,"3,8",848 notes,"€9,99",https://images.vivino.com/thumbs/Ka41DCDLR2K1SBMPYSC4KQ_pb_x600.png,https://www.vivino.com/FR/fr/famille-moutard-blanc-de-blancs-brut/w/3173216?price_id=25389858
La Sereine Chablis 2017,La Chablisienne,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",777 notes,"€13,20",https://images.vivino.com/thumbs/ln8rC9eIQY-iYw1cM1WI_g_pb_x600.png,https://www.vivino.com/FR/fr/la-chablisienne-la-sereine-chablis/w/16606?year=2017&price_id=24461632
Mâcon-Villages 2019,Joseph Drouhin,100 % Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Villages,Burgundy Mâconnais White,13 %,"sulfites, allergènes (œufs)","Pâtes,Végétarien,Viande assaisonnée","3,8",695 notes,"€12,90",https://images.vivino.com/thumbs/vaEzg9r0RAiQ80pNk6tgEw_pb_x600.png,https://www.vivino.com/FR/fr/joseph-drouhin-macon-villages/w/24116?year=2019&price_id=21515283
Chardonnay Bourgogne Kimmeridgien 2018,Jean-Marc Brocard,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,12.5 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,8",539 notes,"€13,23",https://images.vivino.com/thumbs/4B14YD_xR2uHUuc1TnToLg_pb_x600.png,https://www.vivino.com/FR/fr/jean-marc-brocard-chardonnay-bourgogne-kimmeridgien/w/1255283?year=2018&price_id=23335490
Les Allées du Vignoble Petit Chablis 2018,Le Domaine d'Henri,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",256 notes,"€15,28",https://images.vivino.com/thumbs/zkUPmkoST0qeEMP5s1cgDA_pb_x600.png,https://www.vivino.com/FR/fr/domaine-dhenri-les-allees-du-vignoble-petit-chablis/w/3511191?year=2018&price_id=21585130
La Sereine Chablis 2018,La Chablisienne,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",249 notes,"€13,19",https://images.vivino.com/thumbs/ln8rC9eIQY-iYw1cM1WI_g_pb_x600.png,https://www.vivino.com/FR/fr/la-chablisienne-la-sereine-chablis/w/16606?year=2018&price_id=26372255
Bourgogne Pinot Noir 2019,Domaine de Rochebin,100 % Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,12.5 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,8",233 notes,"€8,26",https://images.vivino.com/thumbs/_BZAOK2vS_SL1vKTsDvcJg_pb_x600.png,https://www.vivino.com/FR/fr/rochebin-bourgogne-pinot-noir/w/2700456?year=2019&price_id=25132240
Bourgogne Pinot Noir 2018,Domaine Chanzy,100 % Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,8",214 notes,"€14,22",https://images.vivino.com/thumbs/v8wYNVO4RnCmP8FPWLLRrQ_pb_x600.png,https://www.vivino.com/FR/fr/domaine-chanzy-bourgogne-pinot-noir/w/2603253?year=2018&price_id=25132143
Petit Chablis 2018,Louis Michel & Fils,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",199 notes,"€14,90",https://images.vivino.com/thumbs/XNU4Gs6qTbCqFQnwccoV5A_pb_x600.png,https://www.vivino.com/FR/fr/domaine-louis-michel-and-fils-petit-chablis/w/87223?year=2018&price_id=20422542
Bourgogne Pinot Noir 2017,Domaine Coillot,100 % Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,12.5 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,8",155 notes,"€14,79",https://images.vivino.com/thumbs/34w6Q4_RQeWELMt87LAGnQ_pb_x600.png,https://www.vivino.com/FR/fr/fr-domaine-coillot-bourgogne-pinot-noir/w/1311654?year=2017&price_id=23278000
Mâcon Davayé 2018,Domaine de la Croix Senaillet,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Davayé,Burgundy Mâconnais White,13 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","3,8",149 notes,"€13,90",https://images.vivino.com/thumbs/h8jU66ibRNuHGdxXt-2BXQ_pb_x600.png,https://www.vivino.com/FR/fr/domaine-de-la-croix-senaillet-macon-davaye/w/1212679?year=2018&price_id=26414357
Bourgogne Cuvée Saint-Vincent Blanc 2017,Vincent Girardin,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,13 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,8",145 notes,"€15,90",https://images.vivino.com/thumbs/bJ-HgHjfRkyT-_0T1YpCCw_pb_x600.png,https://www.vivino.com/FR/fr/vincent-girardin-bourgogne-cuvee-saint-vincent-blanc/w/41284?year=2017&price_id=20092377
Macon-Lugny Les Crays 2019,Joseph Drouhin,100 % Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Lugny,Vin blanc de Bourgogne,13 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,8",89 notes,"€14,58",https://images.vivino.com/thumbs/_AZc7pLsRNuidn5k55hdIA_pb_x600.png,https://www.vivino.com/FR/fr/joseph-drouhin-macon-lugny-les-crays/w/6646814?year=2019&price_id=22735702
Bourgogne Couvent Des Jacobins Blanc 2019,Louis Jadot,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,13 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","3,8",86 notes,"€13,90",https://images.vivino.com/thumbs/wlMZAi_cSG6VmVX6k9MFxA_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-bourgogne-couvent-des-jacobins-blanc/w/2820?year=2019&price_id=25049208
Petit Chablis 2019,Bernard Defaix,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",80 notes,"€15,50",https://images.vivino.com/thumbs/5msV27WIQAuNEPHKmw-KfQ_pb_x600.png,https://www.vivino.com/FR/fr/domaine-bernard-defaix-petit-chablis/w/99494?year=2019&price_id=22407306
Petit Chablis 2019,Alain Geoffroy,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,8",75 notes,"€13,91",https://images.vivino.com/thumbs/aJP4GFSMSbyz2IDEHbqvpQ_pb_x600.png,https://www.vivino.com/FR/fr/alain-geoffroy-petit-chablis/w/24173?year=2019&price_id=22864357
Cuvée Axelle Bouzéron 2017,Michel Briday,Aligoté,France / Bourgogne / Côte Chalonnaise / Bouzéron,,,sulfites,,"3,8",73 notes,"€14,30",https://images.vivino.com/thumbs/N8ER1T80TUG8UOJTo77HDw_pb_x600.png,https://www.vivino.com/FR/fr/michel-briday-cuvee-axelle-bouzeron/w/1246630?year=2017&price_id=20321907
